team,opp,p_ge1,p_ge2,mu_expected,game_mu,p_game_ge2,adv_vs_game_ge2
TEN,NE,0.9816312130892302,0.9082092905057388,3.9971024183662096,5.89187934172889,0.9809661352339655,0.3161352169800383
SF,ATL,0.9800276584955503,0.901867759695957,3.913406887328653,6.536632118577956,0.9890766950676059,0.3878787536225172
LA,JAX,0.9649506228768889,0.8475002499774948,3.350997436754709,5.59918644823359,0.9755772467808586,0.38108779145604676
ATL,SF,0.9274315649956117,0.7370682152998256,2.6232252312493034,6.536632118577956,0.9890766950676059,0.5305037748010388
CLE,MIA,0.9177761393954371,0.712355467253899,2.4983097440469555,4.996619488093911,0.9594582753243586,0.43804700173325783
MIA,CLE,0.9177761393954371,0.712355467253899,2.4983097440469555,4.996619488093911,0.9594582753243586,0.43804700173325783
CAR,NYJ,0.9177761393954371,0.712355467253899,2.4983097440469555,4.663769085032876,0.9465858452735981,0.4107045846708782
JAX,LA,0.8944097257101022,0.657022831332513,2.248189011478881,5.59918644823359,0.9755772467808586,0.502695310350086
NYJ,CAR,0.8853027626468849,0.6369305586353025,2.1654593409859206,4.663769085032876,0.9465858452735981,0.44578847209784567
NYG,DEN,0.8853027626468849,0.6369305586353025,2.1654593409859206,3.9143727478732497,0.9019432241229194,0.38634124172961914
NE,TEN,0.8496481287044524,0.5647648725892528,1.8947769233626808,5.89187934172889,0.9809661352339655,0.5341779895796788
NO,CHI,0.8288257091411351,0.526690590605227,1.7650729967680818,3.3639139641145657,0.8490104441706299,0.3833430288568016
DEN,NYG,0.8260371323561646,0.5217911408332949,1.7489134068873289,3.9143727478732497,0.9019432241229194,0.42305542915051103
DAL,WAS,0.8260371323561646,0.5217911408332949,1.7489134068873289,3.4978268137746578,0.8638819103722125,0.39409617717005835
WAS,DAL,0.8260371323561646,0.5217911408332949,1.7489134068873289,3.4978268137746578,0.8638819103722125,0.39409617717005835
CHI,NO,0.7978693416864312,0.4746945644179832,1.5988409673464838,3.3639139641145657,0.8490104441706299,0.3943415778001348
