event_id,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,market_key,outcome_name,point,raw_price,decimal_price,snapshot_time,raw_saved_path,book_implied_prob,consensus_median_prob,edge_prob,edge_rel_pct,zscore,injured,injury_status,injury_note
96377d2fb55e3cef733cecccdecaed5f,2025-11-16T18:02:33Z,Buffalo Bills,Tampa Bay Buccaneers,bovada,Bovada,h2h,Tampa Bay Buccaneers,,2.1,2.1,20251116_2040,backtest/cache/event_props_full_96377d2fb55e3cef733cecccdecaed5f_snapshot_20251116_2040.json,0.445910290237467,0.42408376963350786,-0.02182652060395912,-0.04894823259704442,1.4418776198750491,False,,
229a5e9ce60dcb344a8cc3c97121154e,2025-11-16T18:02:50Z,Minnesota Vikings,Chicago Bears,draftkings,DraftKings,h2h,Chicago Bears,,1.22,1.22,20251116_2040,backtest/cache/event_props_full_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2040.json,0.7706766917293233,0.7578740157480315,-0.012802675981291811,-0.016612252736700594,0.7727681628179782,False,,
229a5e9ce60dcb344a8cc3c97121154e,2025-11-16T18:02:50Z,Minnesota Vikings,Chicago Bears,draftkings,DraftKings,h2h,Minnesota Vikings,,4.1,4.1,20251116_2040,backtest/cache/event_props_full_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2040.json,0.2293233082706767,0.24212598425196846,0.012802675981291756,0.05582806247579683,-0.7727681628179767,False,,
229a5e9ce60dcb344a8cc3c97121154e,2025-11-16T18:02:50Z,Minnesota Vikings,Chicago Bears,williamhill_us,Caesars,h2h,Chicago Bears,,1.23,1.23,20251116_2040,backtest/cache/event_props_full_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2040.json,0.7648183556405354,0.7578740157480315,-0.00694433989250387,-0.00907972440944881,0.6432027463899974,False,,
229a5e9ce60dcb344a8cc3c97121154e,2025-11-16T18:02:50Z,Minnesota Vikings,Chicago Bears,williamhill_us,Caesars,h2h,Minnesota Vikings,,4.0,4.0,20251116_2040,backtest/cache/event_props_full_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2040.json,0.23518164435946462,0.24212598425196846,0.006944339892503842,0.029527559055117964,-0.6432027463899965,False,,
229a5e9ce60dcb344a8cc3c97121154e,2025-11-16T18:02:50Z,Minnesota Vikings,Chicago Bears,fanduel,FanDuel,h2h,Chicago Bears,,1.23,1.23,20251116_2040,backtest/cache/event_props_full_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2040.json,0.7648183556405354,0.7578740157480315,-0.00694433989250387,-0.00907972440944881,0.6432027463899974,False,,
229a5e9ce60dcb344a8cc3c97121154e,2025-11-16T18:02:50Z,Minnesota Vikings,Chicago Bears,fanduel,FanDuel,h2h,Minnesota Vikings,,4.0,4.0,20251116_2040,backtest/cache/event_props_full_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2040.json,0.23518164435946462,0.24212598425196846,0.006944339892503842,0.029527559055117964,-0.6432027463899965,False,,
229a5e9ce60dcb344a8cc3c97121154e,2025-11-16T18:02:50Z,Minnesota Vikings,Chicago Bears,mybookieag,MyBookie.ag,h2h,Chicago Bears,,1.45,1.45,20251116_2040,backtest/cache/event_props_full_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2040.json,0.6463414634146342,0.7578740157480315,0.11153255233339732,0.17255979794978452,-1.9770818609954808,False,,
229a5e9ce60dcb344a8cc3c97121154e,2025-11-16T18:02:50Z,Minnesota Vikings,Chicago Bears,mybookieag,MyBookie.ag,h2h,Minnesota Vikings,,2.65,2.65,20251116_2040,backtest/cache/event_props_full_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2040.json,0.3536585365853659,0.24212598425196846,-0.11153255233339743,-0.31536790659788233,1.9770818609954826,False,,
229a5e9ce60dcb344a8cc3c97121154e,2025-11-16T18:02:50Z,Minnesota Vikings,Chicago Bears,betrivers,BetRivers,h2h,Chicago Bears,,1.23,1.23,20251116_2040,backtest/cache/event_props_full_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2040.json,0.7578740157480315,0.7578740157480315,0.0,0.0,0.48961881464669993,False,,
