event_id,market_key,outcome_name,bookmaker_key,bookmaker_title,price,median_price,pct_diff,point,snapshot,raw_path
0ae85bbc3711ad0cb94475a40e2364f0,h2h,Atlanta Falcons,fanatics,Fanatics,1.48,1.48,0.0,,20251116_2025,backtest/cache/event_props_0ae85bbc3711ad0cb94475a40e2364f0_snapshot_20251116_2025.json
0ae85bbc3711ad0cb94475a40e2364f0,h2h,Carolina Panthers,fanatics,Fanatics,2.6,2.6,0.0,,20251116_2025,backtest/cache/event_props_0ae85bbc3711ad0cb94475a40e2364f0_snapshot_20251116_2025.json
91630b9c62640117918fa30d2a62d2db,h2h,Arizona Cardinals,draftkings,DraftKings,2.6,2.6,0.0,,20251116_2025,backtest/cache/event_props_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2025.json
91630b9c62640117918fa30d2a62d2db,h2h,San Francisco 49ers,williamhill_us,Caesars,1.53,1.53,0.0,,20251116_2025,backtest/cache/event_props_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2025.json
91630b9c62640117918fa30d2a62d2db,h2h,Arizona Cardinals,fanduel,FanDuel,2.6,2.6,0.0,,20251116_2025,backtest/cache/event_props_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2025.json
91630b9c62640117918fa30d2a62d2db,h2h,San Francisco 49ers,fanduel,FanDuel,1.53,1.53,0.0,,20251116_2025,backtest/cache/event_props_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2025.json
91630b9c62640117918fa30d2a62d2db,h2h,San Francisco 49ers,lowvig,LowVig.ag,1.53,1.53,0.0,,20251116_2025,backtest/cache/event_props_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2025.json
91630b9c62640117918fa30d2a62d2db,h2h,San Francisco 49ers,betonlineag,BetOnline.ag,1.53,1.53,0.0,,20251116_2025,backtest/cache/event_props_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2025.json
91630b9c62640117918fa30d2a62d2db,h2h,Arizona Cardinals,fanatics,Fanatics,2.6,2.6,0.0,,20251116_2025,backtest/cache/event_props_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2025.json
91630b9c62640117918fa30d2a62d2db,h2h,San Francisco 49ers,fanatics,Fanatics,1.53,1.53,0.0,,20251116_2025,backtest/cache/event_props_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2025.json
e926e654cedeb65fcfcc389a5158ef4e,h2h,Seattle Seahawks,lowvig,LowVig.ag,2.49,2.49,0.0,,20251116_2025,backtest/cache/event_props_e926e654cedeb65fcfcc389a5158ef4e_snapshot_20251116_2025.json
e926e654cedeb65fcfcc389a5158ef4e,h2h,Seattle Seahawks,betonlineag,BetOnline.ag,2.49,2.49,0.0,,20251116_2025,backtest/cache/event_props_e926e654cedeb65fcfcc389a5158ef4e_snapshot_20251116_2025.json
cc60225b5a907bd9ba7c27c23131fc5c,h2h,Baltimore Ravens,williamhill_us,Caesars,1.22,1.22,0.0,,20251116_2025,backtest/cache/event_props_cc60225b5a907bd9ba7c27c23131fc5c_snapshot_20251116_2025.json
cc60225b5a907bd9ba7c27c23131fc5c,h2h,Baltimore Ravens,fanduel,FanDuel,1.22,1.22,0.0,,20251116_2025,backtest/cache/event_props_cc60225b5a907bd9ba7c27c23131fc5c_snapshot_20251116_2025.json
cc60225b5a907bd9ba7c27c23131fc5c,h2h,Baltimore Ravens,mybookieag,MyBookie.ag,1.22,1.22,0.0,,20251116_2025,backtest/cache/event_props_cc60225b5a907bd9ba7c27c23131fc5c_snapshot_20251116_2025.json
cc60225b5a907bd9ba7c27c23131fc5c,h2h,Baltimore Ravens,bovada,Bovada,1.22,1.22,0.0,,20251116_2025,backtest/cache/event_props_cc60225b5a907bd9ba7c27c23131fc5c_snapshot_20251116_2025.json
96ce7785b0980b03282c7e10d4c58d4a,h2h,Denver Broncos,draftkings,DraftKings,2.8,2.8,0.0,,20251116_2025,backtest/cache/event_props_96ce7785b0980b03282c7e10d4c58d4a_snapshot_20251116_2025.json
