event_id,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,market_key,outcome_name,point,raw_price,decimal_price,snapshot_time,raw_saved_path
229a5e9ce60dcb344a8cc3c97121154e,2025-11-16T18:02:50Z,Minnesota Vikings,Chicago Bears,mybookieag,MyBookie.ag,h2h,Chicago Bears,,1.45,1.45,20251116_2040,backtest/cache/event_props_full_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2040.json
229a5e9ce60dcb344a8cc3c97121154e,2025-11-16T18:02:50Z,Minnesota Vikings,Chicago Bears,mybookieag,MyBookie.ag,h2h,Minnesota Vikings,,2.65,2.65,20251116_2040,backtest/cache/event_props_full_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2040.json
229a5e9ce60dcb344a8cc3c97121154e,2025-11-16T18:02:50Z,Minnesota Vikings,Chicago Bears,betrivers,BetRivers,h2h,Chicago Bears,,1.23,1.23,20251116_2040,backtest/cache/event_props_full_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2040.json
229a5e9ce60dcb344a8cc3c97121154e,2025-11-16T18:02:50Z,Minnesota Vikings,Chicago Bears,betrivers,BetRivers,h2h,Minnesota Vikings,,3.85,3.85,20251116_2040,backtest/cache/event_props_full_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2040.json
229a5e9ce60dcb344a8cc3c97121154e,2025-11-16T18:02:50Z,Minnesota Vikings,Chicago Bears,fanatics,Fanatics,h2h,Chicago Bears,,1.27,1.27,20251116_2040,backtest/cache/event_props_full_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2040.json
229a5e9ce60dcb344a8cc3c97121154e,2025-11-16T18:02:50Z,Minnesota Vikings,Chicago Bears,fanatics,Fanatics,h2h,Minnesota Vikings,,3.6,3.6,20251116_2040,backtest/cache/event_props_full_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2040.json
229a5e9ce60dcb344a8cc3c97121154e,2025-11-16T18:02:50Z,Minnesota Vikings,Chicago Bears,bovada,Bovada,h2h,Chicago Bears,,1.33,1.33,20251116_2040,backtest/cache/event_props_full_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2040.json
229a5e9ce60dcb344a8cc3c97121154e,2025-11-16T18:02:50Z,Minnesota Vikings,Chicago Bears,bovada,Bovada,h2h,Minnesota Vikings,,3.2,3.2,20251116_2040,backtest/cache/event_props_full_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2040.json
5c06e82838fcfade9adf1e89b8bd3081,2025-11-16T18:02:54Z,New York Giants,Green Bay Packers,draftkings,DraftKings,h2h,Green Bay Packers,,1.27,1.27,20251116_2040,backtest/cache/event_props_full_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2040.json
5c06e82838fcfade9adf1e89b8bd3081,2025-11-16T18:02:54Z,New York Giants,Green Bay Packers,draftkings,DraftKings,h2h,New York Giants,,3.7,3.7,20251116_2040,backtest/cache/event_props_full_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2040.json
